,Ticker,EBIT/EV,FCF/EV,Sales/EV,E/P,E/EV,Debt/Equity,Passes Graham test,Enterprise Value (M),Market cap (M),Net income (M),Operating income (M),Dividend Yield (%),Shareholder Yield (%),Buyback Yield (%),overperformer
0,TXG,-0.05785658609316456,-0.056934361536339656,0.1779025256501275,-0.05093706187913076,-0.05718687950427117,0.12403582403530844,False,2902.764,3258.924,-166.0,-167.944,0,,,1.0
1,MMM,0.0496963500463689,0.04672867765006102,0.41631335431648586,0.08337143539138145,0.07026329276012559,1.1730113636363637,False,82219.318,69292.318,5777.0,4086.0,4.862010833193079,6.9747991560766245,2.112788322883546,0.0
2,ABT,0.04772417041361103,0.04453951517673051,0.24913934597768028,0.04109462406086134,0.03956848522812309,0.4600981079187106,False,175215.199,168708.199,6933.0,8362.0,1.9613747442289078,4.210820847084364,2.2494461028554564,0.0
3,ABBV,0.061447530694165246,0.07919526545509295,0.18960747033693362,0.04763880426486875,0.038657009317324326,4.352007002625985,False,306179.919,248452.919,11836.0,18814.0,4.042214525448435,4.64071825932694,0.5985037338785049,0.0
4,ACHC,0.05517366531588368,0.009958970752235752,0.30794701839215183,0.0388732517330221,0.03222202454744043,0.5626688408533269,False,8476.78,7026.4,273.139,467.695,0,,,0.0
5,ACN,0.05277328185807305,0.04970818639393238,0.34701300408491287,0.037772820528966855,0.03874493062775261,0.15044217683997585,False,177498.55,182066.6,6877.169,9367.181,1.3496742412866898,3.6105930499329153,2.2609188086462253,0.0
6,AYI,0.09076768312496,0.04626534054515325,0.7134087019166221,0.07210408141232175,0.06838295138313644,0.2683335076890888,False,5615.435,5325.635,384.0,509.7,0.3398655920737041,10.006319006413088,9.666453414339385,0.0
7,ADM,0.07293026724742703,0.03738282217169871,1.7634857214187911,0.08837160223554302,0.0751465716652026,0.4059674125932408,False,57753.799,49110.799,4340.0,4212.0,1.8305546177362482,4.783062065697939,2.9525074479616906,0.0
8,ADBE,0.03511723674684238,0.042592174972064,0.10138964745242818,0.027212920850452984,0.02738891078517258,0.32289709872677935,False,173646.92,174769.92,4756.0,6098.0,0,3.7477845157793745,3.7477845157793745,1.0
9,ADP,0.03310976606321324,0.025153898482290157,0.1585295282966376,0.029759066401125668,0.02913331418028571,1.2948185522996314,False,101220.89,99092.49,2948.9,3351.4,1.6741934673765633,3.6616296425733106,1.9874361751967475,0.0
